Team,Week,Game,Referee,Leaderboard Points,Win_Loss,Possession_pct,Territory_pct,Attacking_Minutes,Ball_In_Play_Time,Gainline_Over_pct,Gainline_On_pct,Gainline_Lost_pct,Hitup_Efficiency_pct,Tries_Scored,Points_Scored,Ball_Carries,Ball_Carry_Meters,Line_Breaks,Line_Breaks_1st_Phase,Tackle_Breaks,Offloads,Opp_Gainline_Over_pct,Opp_Gainline_On_pct,Opp_Gainline_Lost_pct,Made_Tackle_pct,Tackles_Made,Tackles_Missed,Tackles_Attempted,Assist_Tackles,Dominant_Tackles,Line_Breaks_Conceded,Tackle_Breaks_Conceded,Offloads_Conceded,Carry_Meters_Conceded,Breakdown_Retention_pct,Breakdown_Steals,Ruck_Speed_0-3pct,Ruck_Speed_3-6pct,Ruck_Speed_6+pct,Kicks_In_Play,Carrying_22m_Exit_pct,Kicking_22m_Exit_pct,22m_Exit_Failed_pct,Kicking_Meters,Goal_Kicking_pct,Own_Scrum_Won_pct,Own_Scrum_Completion_pct,Total_Scrums,Own_Lineout_Won_pct,Lineout_Steals,Opp_Lineout_Clean_pct,Total_LO,Full_LO,Full_LO_Won,Full_LO_Lost,Full_LO_clean_pct,Full_LO_scrappy_pct,Full_LO_Lost_pct,6_Man_LO,6_Man_LO_Won,6_Man_LO_Lost,6_Man_LO_Clean_pct,6_Man_LO_Scrappy_pct,6_Man_LO_Lost_pct,5_Man_LO,5_Man_LO_Won,5_Man_LO_Lost,5_Man_LO_Clean_pct,5_Man_LO_Scrappy_pct,5_Man_LO_Lost_pct,4_Man_LO,4_Man_LO_Won,4_Man_LO_Lost,4_Man_LO_Clean_pct,4_Man_LO_Scrappy_pct,4_Man_LO_Lost_pct,3_Man_LO,3_Man_LO_Won,3_Man_LO_Lost,3_Man_LO_Clean_pct,3_Man_LO_Scrappy_pct,3_Man_LO_Lost_pct,2_Man_LO,2_an_LO_Won,2_Man_LO_Lost,2_Man_LO_Clean_pct,2_Man_LO_Scrappy_pct,2_Man_LO_Lost_pct,Quick_LO,Quick_LO_Won,Quick_LO_Lost,Quick_LO_Clean_pct,Quick_LO_Scrappy_pct,Quick_LO_Lost_pct,Own_Start_Half_Retention_pct,Own_Start_22_Retention_pct,Restarts,Long_Restarts,Short_Restart,Penalties,Tackle_Penalty,Ruck_Penalty,Scrum_Penalty,Lineout_Penalty,Offside_Penalty,Maul_Penalty,Foul_Play_Penalty,Other_Penalty,Free_Kicks,Scrum_Free_Kick,Lineout_Free_Kick
Seattle Seawolves,5,18,Luke Rogan,,1,0.4039,0.5328,15.2,0:36:09,0.587,0.19,0.222,0.892,5,33,99,808,4,3,3,10,0.688,0.083,0.229,0.888,237,30,267,48,4,7,6,13,1088,0.99,2,0.65,0.31,0.04,20,0.5,0.44,0.06,618,5-Apr,0.9,0.9,21,0.89,3,0.5,9,2,1,1,0.11,0,0.11,1,1,0,0.11,0,0,3,3,0,0.33,0,0,3,3,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,6,3,1,2,0,0,0,0,0,0,0,0
Rugby United New York,5,18,Luke Rogan,,0,0.5961,0.4672,22.5,0:36:09,0.688,0.083,0.229,0.961,3,21,148,1088,7,0,6,13,0.587,0.19,0.222,0.863,151,24,175,15,11,4,3,10,808,0.98,1,0.63,0.31,0.07,21,0.54,0.38,0.08,596,3-Mar,0.92,0.91,21,0.63,1,0.89,8,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0.5,0,0.38,1,1,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,N/A,5,3,2,7,4,1,0,0,2,0,0,0,0,0,0
Houston SaberCats,6,19,Ben Crouse,,0,0.5709,0.6005,19.7,0:33:28,0.413,0.188,0.4,0.828,1,8,101,650,2,1,7,12,0.571,0.107,0.321,0.91,131,13,144,25,11,2,2,4,505,0.98,1,0.49,0.37,0.14,14,0.22,0.67,0.11,488,2-Jan,1,0.88,20,0.94,0,0.8,17,12,11,1,0.59,0.06,0.06,0,0,0,0,0,0,5,5,0,0.24,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,5,2,3,9,1,1,1,0,1,1,3,0,0,0,0
Rugby United New York,6,19,Ben Crouse,,1,0.4291,0.3995,14.8,0:33:28,0.571,0.107,0.321,0.864,5,35,84,505,2,0,2,4,0.413,0.188,0.4,0.884,160,21,181,39,22,2,7,12,650,0.97,2,0.49,0.41,0.1,18,0.15,0.69,0.15,604,5-May,0.92,0.83,20,1,0,0.82,10,3,3,0,0.3,0,0,1,1,0,0.1,0,0,6,6,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,3,2,1,14,3,3,1,0,4,2,1,0,1,1,0
Utah Warriors,6,20,Scott Green,,0,0.3974,0.4463,13.1,0:30:10,0.632,0.158,0.211,0.93,3,19,57,330,1,1,3,6,0.583,0.238,0.179,0.887,173,22,195,38,15,4,7,5,664,1,0,0.67,0.28,0.05,28,0.19,0.75,0.06,819,3-Feb,0.6,0.56,17,0.89,0,0.44,9,1,0,1,0,0,0.11,5,5,0,0.44,0.11,0,3,3,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,4,3,1,10,2,0,2,0,2,1,3,0,1,1,0
NOLA Gold,6,20,Scott Green,,1,0.6026,0.5537,19.9,0:30:10,0.583,0.238,0.179,0.853,3,21,113,664,4,2,7,5,0.632,0.158,0.211,0.938,91,6,97,14,4,1,3,6,330,0.99,0,0.63,0.31,0.07,20,0.36,0.64,0,779,5-Feb,1,1,17,0.78,1,0.78,9,3,2,1,0.11,0.11,0.11,5,4,1,0.22,0.22,0.11,0,0,0,0,0,0,1,1,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,4,4,0,7,2,0,1,0,2,1,1,0,0,0,0
Glendale Raptors,6,21,Luke Rogan,,1,0.658,0.7417,27.5,0:34:31,0.642,0.142,0.217,0.953,4,22,141,954,8,2,17,9,0.545,0.091,0.364,0.869,86,13,99,23,14,2,7,12,277,0.98,1,0.56,0.37,0.07,23,0.57,0.43,0,606,4-Jan,0.67,0.71,16,0.69,3,0.5,16,1,1,0,0.06,0,0,6,2,4,0.13,0,0.25,7,6,1,0.38,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0.13,0,0,0,0,2,1,1,5,1,0,3,0,0,0,1,0,0,0,0
Toronto Arrows,6,21,Luke Rogan,,0,0.342,0.2583,14.3,0:34:31,0.545,0.091,0.364,0.772,0,0,56,277,2,0,7,12,0.642,0.142,0.217,0.833,209,42,251,51,11,8,17,9,954,0.95,1,0.56,0.35,0.09,24,0.13,0.69,0.19,685,0/1,1,0.89,16,0.5,3,0.69,6,0,0,0,0,0,0,1,1,0,0.17,0,0,5,2,3,0.33,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,5,3,2,6,2,1,1,0,0,1,1,0,0,0,0
Glendale Raptors,7,22,Ben Crouse,,1,0.5785,0.51,24.6,0:37:05,0.634,0.069,0.297,0.914,5,38,153,1194,14,3,6,21,0.468,0.13,0.403,0.871,148,22,170,29,19,6,5,8,622,0.96,0,0.5,0.41,0.09,13,0.71,0.29,0,436,6-Jun,0.86,0.83,15,1,2,0.54,10,1,1,0,0.1,0,0,3,3,0,0.2,0.1,0,4,4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0.2,0,0,0.25,N/A,4,2,2,13,5,0,3,0,3,0,2,0,2,2,0
Austin Elite Rugby,7,22,Ben Crouse,,0,0.4215,0.49,17.9,0:37:05,0.468,0.13,0.403,0.867,3,19,95,622,6,3,5,8,0.634,0.069,0.297,0.861,216,35,251,53,12,14,6,21,1194,0.98,5,0.65,0.32,0.04,12,0.56,0.31,0.13,375,3-Feb,0.9,0.44,15,0.77,0,0.9,13,0,0,0,0,0,0,5,4,1,0.23,0.08,0.08,7,5,2,0.31,0.08,0.15,1,1,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,N/A,6,1,5,8,3,1,1,0,2,0,1,0,0,0,0
Seattle Seawolves,7,23,Ben Crouse,,1,0.5856,0.608,20,0:27:44,0.576,0.106,0.318,0.893,3,27,117,856,8,1,6,11,0.558,0.116,0.326,0.874,90,13,103,15,9,2,3,4,498,0.95,2,0.63,0.33,0.03,17,0.5,0.38,0.13,340,7-May,1,1,17,0.81,1,0.8,16,6,3,3,0.19,0,0.19,5,5,0,0.31,0,0,4,4,0,0.25,0,0,1,1,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,3,1,1,0,1,0,0,0,0,0,0
Houston SaberCats,7,23,Ben Crouse,,0,0.4144,0.392,14.2,0:27:44,0.558,0.116,0.326,0.864,1,14,64,498,2,1,3,4,0.576,0.106,0.318,0.874,180,26,206,36,16,8,6,11,856,0.96,1,0.69,0.24,0.07,20,0.19,0.75,0.06,441,5-Mar,0.9,0.8,17,0.8,0,0.81,10,5,3,2,0.3,0,0.2,0,0,0,0,0,0,4,4,0,0.4,0,0,1,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.67,9,7,1,10,3,1,1,0,5,0,0,0,0,0,0
Utah Warriors,7,24,Luke Rogan,,0,0.4672,0.4087,17.5,0:32:06,0.586,0.121,0.293,0.882,3,21,91,824,5,2,14,7,0.603,0.235,0.162,0.805,149,36,185,34,19,7,12,11,728,0.99,1,0.63,0.31,0.06,10,0.69,0.19,0.13,428,3-Mar,1,0.33,15,0.86,0,0.86,14,3,2,1,0.07,0.07,0.07,7,6,1,0.43,0,0.07,4,4,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,N/A,8,6,2,9,1,0,5,0,2,1,0,0,0,0,0
Rugby United New York,7,24,Luke Rogan,,1,0.5328,0.5913,19.9,0:32:06,0.603,0.235,0.162,0.879,7,45,96,728,7,3,12,11,0.586,0.121,0.293,0.794,131,34,165,32,13,5,14,7,824,0.99,0,0.64,0.27,0.09,22,0.4,0.6,0,656,6-May,1,0.58,15,1,1,0.79,7,4,4,0,0.57,0,0,0,0,0,0,0,0,3,3,0,0.29,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,1,0,1,0,0,1,1,0,1,1,0
Houston SaberCats,8,25,Ben Crouse,,0,0.5531,0.5182,20,0:35:53,0.447,0.245,0.309,0.938,1,11,129,746,2,0,4,18,0.545,0.197,0.258,0.88,162,22,184,31,7,6,6,4,989,0.98,3,0.64,0.27,0.09,12,0.56,0.31,0.13,308,3-Feb,0.92,0.23,16,0.73,0,0.8,11,3,3,0,0.27,0,0,1,1,0,0.09,0,0,5,3,2,0.27,0,0.18,1,0,1,0,0,0.09,1,1,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,9,3,1,1,0,2,0,2,0,0,0,0
NOLA Gold,8,25,Ben Crouse,,1,0.4469,0.4818,16.2,0:35:53,0.545,0.197,0.258,0.922,7,49,109,989,6,3,6,4,0.447,0.245,0.309,0.901,209,23,232,40,8,2,4,18,746,0.94,1,0.53,0.47,0,13,0.56,0.38,0.06,432,8-Jul,1,1,16,0.9,1,0.73,10,4,3,1,0.2,0.1,0.1,3,3,0,0.3,0,0,3,3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,N/A,4,2,2,14,4,0,6,0,2,0,1,0,3,3,0
Rugby United New York,8,26,Scott Green,,1,0.4879,0.5478,17.4,0:31:39,0.53,0.265,0.205,0.924,4,24,93,561,1,1,3,4,0.605,0.174,0.221,0.946,174,10,184,34,4,2,3,7,539,0.98,0,0.6,0.29,0.11,7,0.38,0.63,0,210,4-Feb,1,0.6,13,0.92,0,1,13,9,8,1,0.62,0,0.08,0,0,0,0,0,0,3,3,0,0.23,0,0,1,1,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,6,4,2,8,4,0,1,0,2,0,1,0,2,2,0
Toronto Arrows,8,26,Scott Green,,0,0.5121,0.4522,18.3,0:31:39,0.605,0.174,0.221,0.972,2,21,105,539,2,1,3,7,0.53,0.265,0.205,0.915,150,14,164,32,12,1,3,4,561,0.99,1,0.45,0.45,0.1,10,0.53,0.47,0,444,5-Apr,0.88,0.5,13,1,0,0.92,5,0,0,0,0,0,0,3,3,0,0.6,0,0,2,2,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,3,2,1,12,1,0,3,0,4,2,2,0,0,0,0
Austin Elite Rugby,8,27,Luke Rogan,,0,0.4005,0.3915,12.2,0:28:47,0.5,0.13,0.37,0.853,2,17,76,539,3,2,7,6,0.577,0.082,0.34,0.884,222,29,251,56,16,6,10,16,804,0.98,5,0.63,0.28,0.09,17,0.63,0.25,0.13,338,3-Mar,0.63,0.57,23,0.67,1,0.79,9,1,1,0,0.11,0,0,0,0,0,0,0,0,7,5,2,0.44,0.11,0.22,1,0,1,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,N/A,5,3,2,13,4,2,3,1,1,0,2,0,0,0,0
Seattle Seawolves,8,27,Luke Rogan,,1,0.5995,0.6085,18.2,0:28:47,0.577,0.082,0.34,0.896,4,29,136,804,6,3,10,16,0.5,0.13,0.37,0.891,98,12,110,25,9,3,7,6,539,0.95,1,0.7,0.21,0.09,11,0.58,0.33,0.08,421,5-Apr,0.94,0.88,23,0.79,1,0.56,14,3,3,0,0.21,0,0,4,3,1,0.21,0,0.07,3,3,0,0.21,0,0,4,2,2,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,4,4,0,7,3,1,2,0,1,0,0,0,0,0,0
Glendale Raptors,8,28,Derek Summers,,2,0.5864,0.5722,24.5,0:33:00,0.512,0.174,0.314,0.903,4,28,120,782,3,0,13,6,0.516,0.141,0.344,0.877,142,20,162,27,9,0,7,12,496,0.97,1,0.58,0.35,0.07,26,0.36,0.5,0.14,866,5-Apr,0.8,0.88,14,0.75,1,0.82,16,0,0,0,0,0,0,7,6,1,0.38,0,0.06,9,6,3,0.38,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,4,2,2,10,4,1,3,0,1,1,0,0,1,1,0
San Diego Legion,8,28,Derek Summers,,2,0.4136,0.4278,17.3,0:33:00,0.516,0.141,0.344,0.92,4,28,89,496,0,0,7,12,0.512,0.174,0.314,0.811,172,40,212,24,16,3,13,6,782,0.95,3,0.67,0.25,0.08,22,0.17,0.67,0.17,625,4-Apr,1,0.67,14,0.88,1,0.75,17,1,1,0,0.06,0,0,4,4,0,0.24,0,0,10,8,2,0.47,0,0.12,2,2,0,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,12,6,3,0,0,1,1,1,0,1,1,0
Houston SaberCats,9,29,Scott Green,,1,0.3804,0.5387,12.3,0:32:28,0.667,0.026,0.308,0.969,2,29,61,466,0,0,3,5,0.542,0.135,0.323,0.905,209,22,231,40,18,7,4,17,1248,0.98,2,0.57,0.32,0.11,19,0.29,0.64,0.07,570,7-Jul,1,0.29,10,0.75,2,0.63,12,8,6,2,0.5,0,0.17,0,0,0,0,0,0,4,3,1,0.25,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,N/A,5,4,1,11,3,0,1,0,1,1,4,0,0,0,0
Utah Warriors,9,29,Scott Green,,0,0.6196,0.4613,20.1,0:32:28,0.542,0.135,0.323,0.906,3,27,138,1248,7,1,4,17,0.667,0.026,0.308,0.815,88,20,108,17,0,0,3,5,466,0.97,1,0.49,0.47,0.04,9,0.71,0.18,0.11,311,5-May,0.67,0.33,10,0.69,1,0.75,16,1,0,1,0,0,0.06,1,1,0,0.06,0,0,14,10,4,0.56,0.06,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,7,2,11,0,1,6,0,2,2,0,0,0,0,0
NOLA Gold,9,30,Derek Summers,,1,0.5307,0.461,19.5,0:34:23,0.594,0.135,0.271,0.874,5,35,147,1039,8,4,7,14,0.672,0.149,0.179,0.884,153,20,173,41,17,8,3,9,747,0.99,2,0.55,0.39,0.06,10,0.47,0.41,0.12,381,5-May,0.75,0.71,16,1,2,0.7,9,3,3,0,0.33,0,0,3,3,0,0.33,0,0,2,2,0,0.22,0,0,1,1,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,5,0,5,7,1,1,2,0,1,0,2,0,2,2,0
Austin Elite Rugby,9,30,Derek Summers,,0,0.4693,0.539,17.2,0:34:23,0.672,0.149,0.179,0.87,5,31,101,747,8,3,3,9,0.594,0.135,0.271,0.87,200,30,230,43,25,8,7,14,1039,0.95,0,0.57,0.39,0.04,14,0.53,0.27,0.2,409,5-Mar,0.9,0.78,16,0.8,0,1,10,1,1,0,0.1,0,0,3,2,1,0.2,0,0.1,5,4,1,0.3,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.1,0,0,0,0,6,3,3,7,3,2,1,0,1,0,0,0,0,0,0
Rugby United New York,9,31,Ben Crouse,,1,0.471,0.4322,21.4,0:33:13,0.567,0.134,0.299,0.881,5,31,102,798,6,2,5,12,0.604,0.125,0.271,0.858,188,31,219,44,9,8,4,12,1251,0.95,1,0.59,0.3,0.11,16,0.44,0.5,0.06,565,5-Mar,0.91,0.55,20,0.85,3,0.6,13,1,1,0,0.08,0,0,0,0,0,0,0,0,7,5,2,0.38,0,0.15,4,4,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.08,0,0,0,N/A,4,4,0,11,5,2,0,0,2,0,2,0,1,1,0
Glendale Raptors,9,31,Ben Crouse,,0,0.529,0.5678,24.1,0:33:13,0.604,0.125,0.271,0.929,3,19,129,1251,8,3,4,12,0.567,0.134,0.299,0.836,158,31,189,41,12,6,5,12,798,0.97,2,0.79,0.18,0.03,9,0.84,0.12,0.04,373,3-Feb,0.89,0.78,20,0.73,0,0.85,15,0,0,0,0,0,0,6,5,1,0.27,0.07,0.07,8,5,3,0.27,0.07,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.07,0,0,0.17,N/A,6,4,2,7,3,1,3,0,0,0,0,0,2,2,0
Austin Elite Rugby,10,32,Luke Rogan,,0,0.4516,0.5023,15.4,0:29:45,0.684,0.053,0.263,0.936,1,11,83,660,2,0,4,7,0.5,0.205,0.295,0.899,151,17,168,38,14,2,3,8,604,0.96,2,0.62,0.25,0.13,9,0.74,0.21,0.05,238,3-Feb,0.9,0.7,27,0.67,4,0.67,6,0,0,0,0,0,0,3,2,1,0.17,0.17,0.17,3,2,1,0.33,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,4,1,3,18,3,0,7,0,1,2,4,0,2,2,0
Rugby United New York,10,32,Luke Rogan,,1,0.5484,0.4977,18.7,0:29:45,0.5,0.205,0.295,0.889,3,19,102,604,2,1,3,8,0.684,0.053,0.263,0.863,120,19,139,37,8,2,4,7,660,0.97,1,0.52,0.37,0.11,7,0.29,0.57,0.14,150,3-Feb,0.78,0.41,27,0.67,0,0.5,15,7,4,3,0.27,0,0.2,0,0,0,0,0,0,7,6,1,0.4,0,0.07,1,0,1,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,9,3,0,3,0,2,0,0,0,2,1,1
Glendale Raptors,10,33,Derek Summers,,1,0.4938,0.5314,19.9,0:37:13,0.589,0.126,0.284,0.938,4,34,142,1072,10,1,11,14,0.565,0.176,0.259,0.909,189,19,208,34,15,7,6,6,690,0.98,4,0.67,0.27,0.06,17,0.53,0.47,0,567,6-Jun,1,1,11,1,1,0.75,7,0,0,0,0,0,0,2,2,0,0.14,0.14,0,5,5,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,6,2,4,13,10,1,1,0,0,0,1,0,2,2,0
NOLA Gold,10,33,Derek Summers,,0,0.5062,0.4686,20.4,0:37:13,0.565,0.176,0.259,0.887,5,33,116,690,7,3,6,6,0.589,0.126,0.284,0.86,203,33,236,39,6,10,11,14,1072,0.96,2,0.54,0.42,0.04,15,0.44,0.44,0.13,560,5-Apr,1,0.25,11,0.88,0,0.86,16,5,3,2,0.19,0,0.13,3,3,0,0.19,0,0,8,8,0,0.38,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,N/A,6,2,4,8,3,2,0,0,1,0,2,0,1,0,1
Seattle Seawolves,10,34,Elgan Williams,,0,0.5629,0.4186,23.7,0:34:35,0.625,0.102,0.273,0.828,4,22,128,744,6,0,8,8,0.742,0.076,0.182,0.825,146,31,177,36,10,4,6,11,717,0.95,0,0.6,0.37,0.03,16,0.29,0.59,0.12,636,4-Jan,1,0.78,13,0.89,0,0.8,18,3,2,1,0.11,0,0.06,7,7,0,0.28,0.11,0,6,5,1,0.28,0,0.06,2,2,0,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,12,3,2,1,0,2,0,3,0,0,0,0
San Diego Legion,10,34,Elgan Williams,,1,0.4371,0.5814,18.4,0:34:35,0.742,0.076,0.182,0.941,3,28,98,717,4,2,6,11,0.625,0.102,0.273,0.909,190,19,209,33,23,6,8,8,744,1,1,0.43,0.42,0.14,22,0.54,0.38,0.08,701,8-May,1,0.75,13,0.8,0,0.72,10,1,1,0,0.1,0,0,1,1,0,0.1,0,0,8,6,2,0.6,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,N/A,5,3,2,11,3,1,2,1,1,0,3,0,1,0,1
Utah Warriors,10,35,Elgan Williams,,0,0.52,0.5587,19.9,0:34:05,0.506,0.2,0.294,0.906,5,29,134,915,7,2,5,16,0.692,0.154,0.154,0.808,139,33,172,32,5,10,5,15,828,0.96,1,0.79,0.21,0,9,0.61,0.28,0.11,350,4-Feb,1,1,11,0.83,1,0.91,12,1,0,1,0,0,0.08,6,6,0,0.42,0.08,0,5,4,1,0.33,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,N/A,11,3,8,11,1,0,5,0,3,0,2,0,0,0,0
Toronto Arrows,10,35,Elgan Williams,,1,0.48,0.4413,18.4,0:34:05,0.692,0.154,0.154,0.948,9,64,108,828,10,5,5,15,0.506,0.2,0.294,0.86,197,32,229,47,12,7,5,16,915,0.96,2,0.6,0.31,0.1,18,0.45,0.55,0,548,44084,1,0.29,11,0.91,2,0.75,11,4,4,0,0.36,0,0,3,2,1,0.18,0,0.09,3,3,0,0.27,0,0,1,1,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,6,5,1,8,3,1,0,0,1,1,2,0,0,0,0
Glendale Raptors,11,36,Elgan Williams,,1,0.4933,0.4928,18.2,0:32:32,0.529,0.165,0.306,0.912,7,52,149,1244,14,3,6,17,0.563,0.031,0.406,0.876,92,13,105,17,12,4,3,6,502,0.99,4,0.71,0.25,0.04,11,0.62,0.23,0.15,317,8-Aug,0.33,1,13,0.9,1,0.57,10,0,0,0,0,0,0,3,3,0,0.3,0,0,7,6,1,0.4,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,9,3,6,12,3,0,9,0,0,0,0,0,1,1,0
Houston SaberCats,11,36,Elgan Williams,,0,0.5067,0.5072,18.7,0:32:32,0.563,0.031,0.406,0.862,6,40,64,502,4,2,3,6,0.529,0.165,0.306,0.852,195,34,229,29,8,14,6,17,1244,0.92,0,0.42,0.29,0.29,22,0.3,0.6,0.1,552,6-Apr,1,0.25,13,0.71,0,0.7,7,1,1,0,0.14,0,0,0,0,0,0,0,0,5,3,2,0.29,0.14,0.29,1,1,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,N/A,7,4,3,10,4,0,0,0,2,0,4,0,0,0,0
